Bauwerks-Nr.:;Bauwerksname:;Ort;Bauwersart;Bauwerkskonstruktion:;Baujahr:
A001;Akerweg;Vetschau;Bogenartige Brücke / Gewölbebrücke;Einfeld-2-Gelenk-Bogenbrücke;1905
A002;Bocholtzer Straße;Vetschau;Bogenartige Brücke / Gewölbebrücke;Einfeld-2-Gelenk-Bogenbrücke;1903
A003;Burtscheider Straße;Burtscheid;Bogenbrücke mit abgehängter Fahrbahn;Zweigelenkbogen mit Zugband;1952
A003;Burtscheider Straße;Burtscheid;Brücke als offener Rahmen;Stahlbeton-Rahmen;1964
A003;Burtscheider Straße;Burtscheid;Gewölbe- bzw. Bogenbrücke;Betongewölbe;1900
A003;Burtscheider Straße;Burtscheid;Stützwand als Massivwand;Natursteinmauer;
A003;Burtscheider Straße;Burtscheid;Stützwand als Massivwand;Natursteinmauer;
A004;Entenpfuhler Weg III;Preuswald;Brücke mit einer speziellen Rahmenkonstruktionen;2-Feld-Stahlverbund mit integralen Widerlagern;2007
A005;Geusenweg;Vaalserquartier;Gewölbe- bzw. Bogenbrücke;Einfeld-Zeigelstein-Gewölbe;1910
A005;Geusenweg;Vaalserquartier;Brücke mit balkenartigem oder plattenartigem Tragwerk;Einfeld-Stahlverbund;1910
A005;Geusenweg;Vaalserquartier;Gewölbe- bzw. Bogenbrücke;Einfeld-Zeigelstein-Gewölbe;1910
A006;Hander Weg;Richterich;Bogenartige Brücke / Gewölbebrücke;Einfeld-Stahlbeton-Zweigelenkbogen;1907
A007;Erzberger Allee;Aachen;Brücke als geschlossener Rahmen;Einfeld-Stahlbeton-Rahmen;2019
A007;Erzbergerallee;Aachen;Stützwand als Massivwand;Stahlbetonstützwand;2019
A008;Wolfsbendenstraße;Eilendorf;Plattenbrücke;3-Feld-Plattenbrücke;1965
A009;Kamper Straße;Aachen;Hohlkastenbrücke;Dreifeld-Stahlbeton-Hohlkastenbrücke, 2x 40x50cm;1966
A009;Kamper Straße;Aachen;Hohlkastenbrücke;Zweifeld-Stahlbeton-Hohlkastenbrücke, 3x DU=35cm;1966
A009;Kamper Straße;Aachen;Brücke mit balkenartigem oder plattenartigem Tragwerk;Rampe,Seitenwände mit aufgelegten Massivplatten;1966
A011;Halifaxstraße;Aachen;Hohlkastenbrücke;Achtfeld-Spannbeton-Hohlkasten;1971
A013;An der Schanz;Aachen;Plattenbrücke;Einfeld-Walzträger in Beton;1950
A013;An der Schanz;Aachen;Stützwand als Massivwand;Winkelstützwand;1993
A015;Turmstraße;Aachen;Hohlkastenbrücke;Zweifeld-Spannbeton-Hohlkasten;1971
A016;Weberstraße;Aachen;Brücke als offener Rahmen;Einfeld-Fertigteilüberbau mit Ortbetonergänzung;2014
